Block,Month,Year,Season,TotalLegalsRetained,MeanCPUE,TotalShorts,MeanDepth,MaxDepth,MeanNightsInWater,TotalTrapsPulled
712,2,1998,1997-98,404,2.54051948,112,97,120,7.6,168
718,2,1998,1997-98,541,0.594862564,304,55.39130435,66,3.652173913,1647
719,2,1998,1997-98,1739,0.589195779,1925,69.55,100,4.2625,4095
720,2,1998,1997-98,1455,0.678782864,1383,120.254902,200,3.254901961,2357
737,2,1998,1997-98,246,1.023931624,292,55.15384615,70,3.923076923,285
738,2,1998,1997-98,253,0.59737013,229,67.14285714,90,3.714285714,400
740,2,1998,1997-98,862,1.205247943,363,92.5,130,4.1875,1904
756,2,1998,1997-98,458,1.086570904,1098,33.18181818,50,4.272727273,486
757,2,1998,1997-98,1072,0.841334276,2756,43.96551724,70,3.931034483,1408
765,2,1998,1997-98,552,0.682394461,173,118.5714286,200,8.285714286,592
801,2,1998,1997-98,146,0.648415187,524,53.83333333,68,6.166666667,258
821,2,1998,1997-98,440,0.884285714,971,127.1428571,225,4.571428571,555
860,2,1998,1997-98,2285,0.535417439,6765,95.8630137,250,4.808219178,4563
652,3,1998,1997-98,310,0.655613254,215,99.16666667,140,4.5,545
653,3,1998,1997-98,133,0.278211075,308,68.57142857,140,5.619047619,440
654,3,1998,1997-98,515,0.953650794,431,63.5,120,5.5,544
655,3,1998,1997-98,130,1.216657959,216,87,133,5.75,137
680,3,1998,1997-98,1161,1.021932773,493,176.4705882,275,3.882352941,1230
687,3,1998,1997-98,1041,1.539152652,182,76.66666667,100,6.083333333,750
688,3,1998,1997-98,523,1.353445513,60,77.33333333,110,6.666666667,384
689,3,1998,1997-98,350,1.023684211,67,73.14285714,100,7.714285714,262
702,3,1998,1997-98,201,1.638004032,37,203.3333333,220,3.833333333,167
708,3,1998,1997-98,670,0.994926729,272,90.5,120,6,649
711,3,1998,1997-98,531,1.72264626,154,72.66666667,110,7.333333333,392
719,3,1998,1997-98,529,0.313799633,427,67.71428571,115,3.685714286,1854
720,3,1998,1997-98,398,0.42128003,209,123.2857143,200,3.485714286,835
737,3,1998,1997-98,33,0.373214286,86,41.25,60,3,103
756,3,1998,1997-98,425,1.103305728,694,38.88888889,50,3.333333333,393
757,3,1998,1997-98,379,0.538880545,838,63.33333333,160,4,681
765,3,1998,1997-98,231,0.325496454,206,120,200,9,697
821,3,1998,1997-98,450,0.699652778,1770,94.16666667,180,4,740
860,3,1998,1997-98,1429,0.535914161,5525,81.4,270,3.945454545,2749
652,10,1998,1998-99,422,0.775891565,535,27.96296296,40,3.703703704,863
653,10,1998,1998-99,1754,0.577031785,2782,24.3,50,3.966666667,2975
654,10,1998,1998-99,2332,0.568326669,2979,29.82539683,70,3.555555556,4174
655,10,1998,1998-99,1307,0.51981352,1796,24.32258065,50,3.387096774,2366
665,10,1998,1998-99,569,0.500511395,234,38.125,54,3.875,1098
680,10,1998,1998-99,408,0.224061441,371,30,40,3.285714286,1765
681,10,1998,1998-99,231,0.281215255,106,27.71428571,30,3.714285714,800
684,10,1998,1998-99,1240,0.961396647,304,40.29411765,60,3.235294118,1387
685,10,1998,1998-99,1224,0.950271121,468,44.06521739,90,4.02173913,1540
686,10,1998,1998-99,384,0.6822907,182,50,120,4.5,650
687,10,1998,1998-99,504,0.572050203,263,42.04545455,80,4.227272727,785
688,10,1998,1998-99,333,0.715833333,88,34,40,3.6,595
708,10,1998,1998-99,2303,0.696408379,2203,36.49152542,72,4.186440678,3855
709,10,1998,1998-99,1232,0.838082064,824,33.66666667,80,4.644444444,1661
710,10,1998,1998-99,597,0.863969952,340,35.88235294,70,4.058823529,677
719,10,1998,1998-99,729,0.326274729,725,46.20689655,90,3.413793103,1940
720,10,1998,1998-99,643,0.484051492,764,53.22222222,190,3.333333333,1595
737,10,1998,1998-99,1147,0.537059865,1760,38.2962963,65,3.314814815,2994
738,10,1998,1998-99,1110,0.50331411,1067,43.40540541,65,3.432432432,2149
756,10,1998,1998-99,2329,0.516122292,4730,31.87096774,40,3.370967742,4765
757,10,1998,1998-99,4241,0.472119313,8880,34.8,100,3.381818182,8507
762,10,1998,1998-99,1142,0.537981734,2541,58.82352941,160,3.852941176,2137
765,10,1998,1998-99,1306,0.960000301,656,62.85714286,120,4.571428571,1469
801,10,1998,1998-99,1028,0.621624154,4772,50.33333333,75,4.111111111,1846
813,10,1998,1998-99,810,0.546864835,191,67,100,3.5,1310
821,10,1998,1998-99,993,0.39323385,2745,53.95454545,180,3.636363636,3175
842,10,1998,1998-99,3589,0.774263167,9927,70.22916667,125,3.3125,4455
860,10,1998,1998-99,13792,0.549464936,50356,70.56145251,240,3.469273743,26107
867,10,1998,1998-99,723,1.09039266,1607,72.66666667,160,4.666666667,891
652,11,1998,1998-99,696,0.411722335,1451,47.7254902,150,3.803921569,2403
653,11,1998,1998-99,1351,0.464203348,2354,27.21495327,45,4.925233645,2911
654,11,1998,1998-99,1592,0.439442924,2966,33.71428571,70,4.685714286,3317
655,11,1998,1998-99,1596,0.542195919,2587,36.875,70,4.125,2848
656,11,1998,1998-99,249,0.461,346,44.8,65,3.8,517
657,11,1998,1998-99,146,0.7625,156,48.75,60,3.75,220
680,11,1998,1998-99,493,0.154611111,331,30.625,40,3.541666667,2975
684,11,1998,1998-99,1503,0.65691722,481,61.9,180,3.733333333,2284
685,11,1998,1998-99,1853,0.965734183,899,52.52112676,100,4.929577465,2600
686,11,1998,1998-99,649,0.889714928,340,62.8125,120,5.3125,918
687,11,1998,1998-99,762,0.613416912,376,51.85714286,85,5.342857143,1402
688,11,1998,1998-99,764,0.656562942,199,40.57142857,80,4.761904762,1347
708,11,1998,1998-99,2490,0.495774817,2392,41.15942029,100,4.275362319,5243
709,11,1998,1998-99,842,0.496201153,650,47.66666667,120,5.155555556,1616
710,11,1998,1998-99,951,0.616922086,557,38.2,80,4.56,1664
711,11,1998,1998-99,744,0.844839985,144,34.47368421,60,4.631578947,1211
719,11,1998,1998-99,1677,0.286462283,1386,55.13636364,120,3.397727273,5507
720,11,1998,1998-99,1264,0.407819894,1074,76.71428571,210,3.514285714,2846
737,11,1998,1998-99,1294,0.299780368,2854,33.18055556,60,3.444444444,4251
738,11,1998,1998-99,2105,0.308407861,2435,39.26153846,70,3.723076923,5327
739,11,1998,1998-99,390,0.63247092,120,46.1,100,4,665
756,11,1998,1998-99,2205,0.381199597,4904,32.09876543,45,3.419753086,5898
757,11,1998,1998-99,2381,0.22408074,8220,34.79891304,120,3.456521739,10160
762,11,1998,1998-99,1421,0.490147639,2681,67.03703704,100,4.222222222,3035
765,11,1998,1998-99,2039,0.876776559,1641,63.52941176,150,5.705882353,2323
801,11,1998,1998-99,598,0.335407582,2874,53.47826087,75,4.47826087,1917
821,11,1998,1998-99,1005,0.253121375,4750,45.97142857,90,3.4,4715
842,11,1998,1998-99,2342,0.533572872,8724,67.26,200,3.44,5025
850,11,1998,1998-99,766,0.997314398,848,80,150,4,706
860,11,1998,1998-99,12288,0.407544997,56465,63.25485437,230,3.63592233,28736
652,12,1998,1998-99,420,0.219310048,595,83.06451613,150,4.35483871,2407
653,12,1998,1998-99,603,0.289329406,1705,40.82828283,150,4.434343434,2312
654,12,1998,1998-99,549,0.289539611,1623,45.41860465,90,4.790697674,1871
655,12,1998,1998-99,754,0.308044837,2174,49.65116279,110,5.023255814,2452
656,12,1998,1998-99,175,0.313650794,206,78.57142857,100,5,444
657,12,1998,1998-99,239,0.59781746,502,92.14285714,180,4.571428571,382
665,12,1998,1998-99,297,0.264847338,234,48.91666667,56,4.916666667,835
680,12,1998,1998-99,665,0.256266667,574,34,50,5.1,2350
684,12,1998,1998-99,997,0.776379892,164,96.17647059,180,4.058823529,1294
685,12,1998,1998-99,836,0.611845989,444,63.75,100,6.204545455,1611
686,12,1998,1998-99,377,0.889057829,174,70.18518519,120,6.37037037,667
687,12,1998,1998-99,731,0.515237981,344,70.92105263,110,5.842105263,1681
688,12,1998,1998-99,539,0.442489344,83,69.25,80,5.05,1495
689,12,1998,1998-99,329,0.402545429,49,84.28571429,100,4,840
707,12,1998,1998-99,171,0.71530466,32,32,60,4.4,244
708,12,1998,1998-99,1714,0.446427193,1730,50,160,4.964285714,4124
709,12,1998,1998-99,581,0.557109116,429,46.42857143,100,6,1398
710,12,1998,1998-99,658,0.577780795,323,40.33333333,60,6.128205128,1150
711,12,1998,1998-99,862,0.418911557,345,58.4,90,5,2151
719,12,1998,1998-99,1310,0.237850217,1014,60.76,130,3.66,6211
720,12,1998,1998-99,926,0.207743078,979,98.48484848,220,3.515151515,3891
737,12,1998,1998-99,614,0.197378313,1672,32.37735849,50,3.603773585,2785
738,12,1998,1998-99,436,0.158500283,795,38.81578947,65,4.026315789,2959
739,12,1998,1998-99,182,0.441500278,104,53.66666667,100,3.6,453
740,12,1998,1998-99,13,0.166233766,1,91.25,100,3.75,70
756,12,1998,1998-99,844,0.175362428,4912,34.6,45,3.557142857,4948
757,12,1998,1998-99,1015,0.171442492,4523,36.51639344,120,3.655737705,6659
762,12,1998,1998-99,777,0.335530769,1555,73.96226415,100,3.981132075,2247
801,12,1998,1998-99,375,0.181598504,2172,58.51851852,75,4.518518519,2047
821,12,1998,1998-99,282,0.138922903,2306,45.47619048,65,3.714285714,2260
842,12,1998,1998-99,1002,0.383084416,3050,64.57575758,150,4.090909091,2660
850,12,1998,1998-99,424,0.592668845,685,105,130,3.333333333,753
860,12,1998,1998-99,8459,0.385399133,34479,66.99147727,270,3.863636364,22026
867,12,1998,1998-99,548,0.56610766,1686,109.5217391,190,4.347826087,1046
652,1,1999,1998-99,410,0.266791259,389,79.83333333,150,4.366666667,2276
653,1,1999,1998-99,300,0.281780898,952,49.02777778,95,4.944444444,1217
654,1,1999,1998-99,387,0.24242782,1128,55.44117647,120,5.470588235,1534
655,1,1999,1998-99,695,0.378298128,2221,58.33333333,170,4.416666667,1768
656,1,1999,1998-99,136,0.46069853,337,78.75,100,5.25,349
657,1,1999,1998-99,397,0.488240093,254,133.6363636,180,5.181818182,611
680,1,1999,1998-99,398,0.238980392,324,86.47058824,140,3.882352941,1650
683,1,1999,1998-99,310,1.589923997,82,62.14285714,70,5.714285714,193
684,1,1999,1998-99,859,0.660491668,186,102.8125,180,3.875,1349
685,1,1999,1998-99,500,0.578138236,296,90.60606061,150,6.606060606,940
686,1,1999,1998-99,171,0.475127543,93,76.31578947,120,7.578947368,368
687,1,1999,1998-99,762,0.65185356,243,74,180,6.766666667,1321
688,1,1999,1998-99,2670,0.813905962,839,72.5,100,5.840909091,4024
689,1,1999,1998-99,238,0.420173077,31,85.5,100,6,641
702,1,1999,1998-99,206,1.776851852,20,198,220,3.166666667,147
708,1,1999,1998-99,1512,0.477126372,1165,71.59649123,160,5.157894737,4001
709,1,1999,1998-99,525,0.65823302,316,67.51111111,160,6.377777778,1072
710,1,1999,1998-99,633,0.825614415,308,51.03448276,90,6.206896552,735
711,1,1999,1998-99,1128,0.573150267,223,62.77777778,90,5.111111111,2048
719,1,1999,1998-99,977,0.329783111,633,63.91304348,120,3.608695652,4642
720,1,1999,1998-99,977,0.269163841,774,98.1,220,3.22,3138
737,1,1999,1998-99,332,0.167283576,1080,31.84444444,40,3.622222222,2043
738,1,1999,1998-99,580,0.197284377,1029,31.96551724,60,4.137931034,2626
740,1,1999,1998-99,357,0.672389247,231,96.66666667,110,3.518518519,624
756,1,1999,1998-99,452,0.171211538,2310,36.2195122,90,3.536585366,2529
757,1,1999,1998-99,604,0.169760749,2230,36.76923077,230,3.576923077,4338
762,1,1999,1998-99,654,0.396145256,1258,61.30434783,100,4.152173913,1901
821,1,1999,1998-99,316,0.253277778,2815,47,60,3.933333333,1275
842,1,1999,1998-99,632,0.346263736,2120,58.73076923,100,4.269230769,2080
860,1,1999,1998-99,3774,0.304366284,18847,66.13777778,180,4.093333333,13376
867,1,1999,1998-99,321,0.263912122,1224,94.62962963,180,6.259259259,1114
652,2,1999,1998-99,476,0.341253104,368,90.17241379,150,4.517241379,1576
653,2,1999,1998-99,150,0.234258638,948,58.94736842,95,4.350877193,675
654,2,1999,1998-99,291,0.370046805,789,86.30434783,180,5.608695652,1058
655,2,1999,1998-99,333,0.559002836,806,78.18181818,160,5,505
656,2,1999,1998-99,226,0.923712121,430,98,120,6.4,198
680,2,1999,1998-99,227,0.128152363,301,83.33333333,140,3.857142857,1940
683,2,1999,1998-99,236,0.762782904,70,51.09090909,80,5,273
684,2,1999,1998-99,507,1.137368742,115,69.5,180,4.7,504
685,2,1999,1998-99,227,0.568253968,228,84.04761905,150,7.19047619,520
686,2,1999,1998-99,78,0.62109086,79,73,90,8.5,152
687,2,1999,1998-99,511,0.674867886,202,76.66666667,180,6.791666667,900
688,2,1999,1998-99,1863,0.668488445,572,70.72916667,100,4.9375,3084
689,2,1999,1998-99,480,0.519066495,151,76.66666667,100,5.733333333,929
708,2,1999,1998-99,786,0.352852743,826,49.78787879,120,5.818181818,2658
709,2,1999,1998-99,372,1.373173654,196,76.66666667,200,7.333333333,362
710,2,1999,1998-99,627,0.871789216,272,57.5,80,6.2,826
711,2,1999,1998-99,1038,0.647554956,224,71.29166667,100,5.333333333,1618
712,2,1999,1998-99,298,0.509484534,55,81.25,100,5,607
719,2,1999,1998-99,803,0.266428198,716,62.85294118,105,3.980392157,3914
720,2,1999,1998-99,710,0.198010716,683,113.8135593,220,3.406779661,2448
737,2,1999,1998-99,261,0.217986307,1017,35.27027027,70,3.513513514,1379
738,2,1999,1998-99,436,0.335320768,720,26.86956522,40,3.695652174,1684
740,2,1999,1998-99,268,0.266388675,202,101.9642857,130,3.75,812
756,2,1999,1998-99,414,0.202479608,1598,35.48888889,90,3.444444444,2056
757,2,1999,1998-99,676,0.248702345,1720,34.61038961,40,3.636363636,3234
814,2,1999,1998-99,1925,0.967275252,714,86.66666667,240,4.555555556,2001
842,2,1999,1998-99,255,0.520333333,837,57.5,80,5.2,475
860,2,1999,1998-99,1868,0.280751775,10601,65.57534247,180,3.910958904,6801
653,3,1999,1998-99,87,0.302679591,382,73.07692308,95,3.653846154,306
654,3,1999,1998-99,151,0.591458806,357,52.85714286,60,5.142857143,270
680,3,1999,1998-99,42,0.115384615,70,82.5,100,4.75,400
687,3,1999,1998-99,177,0.66865163,80,94.5,200,7,246
688,3,1999,1998-99,1172,1.435866693,257,61.78571429,90,4.357142857,1044
689,3,1999,1998-99,423,1.168069969,100,77.75,102,6.875,423
711,3,1999,1998-99,513,0.858657597,85,58.33333333,80,4.888888889,661
719,3,1999,1998-99,356,0.271058459,232,72.8627451,109,3.764705882,1656
720,3,1999,1998-99,570,0.361040476,310,107.4,200,3.333333333,954
737,3,1999,1998-99,61,0.166076248,453,32.78947368,43,3.473684211,489
738,3,1999,1998-99,93,0.300035595,987,27.8,38,3.5,315
740,3,1999,1998-99,43,0.46670403,48,107.1428571,110,3.285714286,103
756,3,1999,1998-99,102,0.175447442,646,33.42105263,40,3.210526316,591
757,3,1999,1998-99,178,0.192588057,767,33.71428571,40,3.342857143,1094
814,3,1999,1998-99,1127,1.218298252,658,95.65217391,120,4.086956522,935
860,3,1999,1998-99,854,0.30460776,5966,52.11864407,120,3.728813559,2689
652,10,1999,1999-00,288,0.343124919,416,27.92,60,3.6,892
653,10,1999,1999-00,546,0.412642923,486,21.5625,30,3.953125,1391
654,10,1999,1999-00,672,0.4237329,788,23.45238095,35,3.904761905,1823
655,10,1999,1999-00,173,0.384212018,206,25,35,3.714285714,479
665,10,1999,1999-00,445,0.490043145,396,28.13636364,56,3.772727273,1077
684,10,1999,1999-00,1104,0.641641233,292,41.3,60,3.6,1820
685,10,1999,1999-00,615,0.398169368,350,46.97058824,90,4,1647
686,10,1999,1999-00,117,0.313757952,22,50,90,4.4,370
687,10,1999,1999-00,238,0.655589847,216,31,60,4.428571429,370
688,10,1999,1999-00,819,0.679950531,226,29.46666667,50,4.266666667,1342
708,10,1999,1999-00,1373,0.460124396,1505,29.95,60,3.375,3381
709,10,1999,1999-00,713,0.77164662,238,54.07142857,80,4.464285714,1041
710,10,1999,1999-00,749,0.697016938,356,38.68421053,80,3.605263158,1156
719,10,1999,1999-00,627,0.280122993,462,53.92592593,90,3.425925926,2552
720,10,1999,1999-00,139,0.112750175,495,64.55882353,185,3.294117647,1306
737,10,1999,1999-00,2049,0.446386403,2166,34.90566038,240,3.320754717,3645
738,10,1999,1999-00,1421,0.33506235,2243,35.25454545,176,3.254545455,3877
756,10,1999,1999-00,2261,0.359487734,6012,31.80722892,60,3.421686747,6114
757,10,1999,1999-00,1408,0.31945426,3616,35.62025316,100,3.405063291,4863
762,10,1999,1999-00,1446,0.899280911,1743,70.54054054,100,3.513513514,1986
765,10,1999,1999-00,928,0.56057407,1409,48.18181818,100,4.545454545,1579
800,10,1999,1999-00,62,0.4175,201,48.75,90,3.75,174
801,10,1999,1999-00,704,0.404328138,1991,41.53846154,60,3.615384615,1630
807,10,1999,1999-00,1236,0.92256928,1453,46.11111111,60,3.611111111,1415
813,10,1999,1999-00,144,0.213333333,127,80,100,3.428571429,495
821,10,1999,1999-00,1145,0.271657178,4315,35.4516129,66,3.35483871,4045
842,10,1999,1999-00,2343,0.418732152,8747,49.56896552,120,3.396551724,4791
850,10,1999,1999-00,1150,0.945738367,2416,72.77777778,100,3.555555556,1175
860,10,1999,1999-00,7806,0.372988243,40872,49.33333333,190,3.459064327,20835
867,10,1999,1999-00,747,0.901111111,1824,56,100,4.4,880
652,11,1999,1999-00,517,0.266660559,701,41.96969697,100,3.848484848,1687
653,11,1999,1999-00,850,0.533833774,1170,28.56164384,50,3.863013699,1646
654,11,1999,1999-00,815,0.429271458,841,35.44444444,60,4.244444444,2336
655,11,1999,1999-00,312,0.30481685,243,35,65,4.192307692,1120
656,11,1999,1999-00,321,0.413644515,291,39.5,55,3.875,658
665,11,1999,1999-00,547,0.443352697,624,30.48275862,50,4.24137931,1352
683,11,1999,1999-00,316,1.22635326,198,44.4,63,4.1,242
684,11,1999,1999-00,1134,0.592274499,361,51.20689655,180,3.931034483,1905
685,11,1999,1999-00,968,0.618784585,439,47.9,90,4.56,1720
686,11,1999,1999-00,398,0.542689075,101,64.07692308,90,5.307692308,910
687,11,1999,1999-00,209,0.325357427,89,56.13636364,90,4.409090909,625
688,11,1999,1999-00,1093,0.312510733,379,42.9787234,60,3.787234043,3028
689,11,1999,1999-00,143,0.281270677,125,47.8,60,4,456
708,11,1999,1999-00,1772,0.544049557,1834,37.5,90,4.64,4356
709,11,1999,1999-00,718,0.539291896,341,46.35897436,90,4.487179487,1391
710,11,1999,1999-00,755,0.566868958,335,35.91111111,60,4.622222222,1443
711,11,1999,1999-00,931,0.340028514,270,37.96296296,60,3.62962963,2922
719,11,1999,1999-00,946,0.332943969,861,53.22666667,91,3.733333333,3794
720,11,1999,1999-00,254,0.268524442,507,73.625,185,3.4,1328
737,11,1999,1999-00,1109,0.230555416,2729,31.22535211,59,3.253521127,4266
738,11,1999,1999-00,1139,0.213021861,3367,33.08536585,60,3.353658537,4863
739,11,1999,1999-00,216,0.376571556,201,46.875,100,3.5,547
756,11,1999,1999-00,1532,0.204664723,5543,32.42696629,45,3.516853933,7114
757,11,1999,1999-00,1728,0.167090031,6697,31.17177914,100,3.478527607,9559
765,11,1999,1999-00,903,0.529684781,1481,47.69230769,70,5.692307692,1638
800,11,1999,1999-00,59,0.254074074,280,41.66666667,65,3.333333333,220
801,11,1999,1999-00,585,0.258523487,3211,44.07894737,100,3.710526316,2132
807,11,1999,1999-00,1933,0.865832515,3911,54.75862069,120,3.896551724,2473
813,11,1999,1999-00,387,0.300892541,241,79,100,5.9,1233
821,11,1999,1999-00,1093,0.242680732,3399,39.14893617,60,3.723404255,4175
842,11,1999,1999-00,2328,0.43929015,12792,47.27272727,90,3.439393939,4895
850,11,1999,1999-00,677,0.633134921,1250,97.14285714,140,3.285714286,1090
860,11,1999,1999-00,7408,0.423535123,37175,49.68322981,150,3.546583851,19215
867,11,1999,1999-00,733,0.947173979,1095,68.5,150,3.6,865
651,12,1999,1999-00,157,0.400480192,250,37.42857143,70,5.285714286,364
652,12,1999,1999-00,488,0.239609927,814,54.15384615,100,4.282051282,1918
653,12,1999,1999-00,649,0.374778732,1176,33.38461538,60,4.318681319,1840
654,12,1999,1999-00,231,0.273731682,591,47.5,60,4.777777778,885
655,12,1999,1999-00,312,0.335609969,407,39.16666667,65,5.291666667,940
656,12,1999,1999-00,555,0.440231482,858,50.33333333,55,4.8,1360
665,12,1999,1999-00,651,0.643536936,980,39.29411765,60,4.235294118,1120
683,12,1999,1999-00,332,1.602983683,242,51.81818182,60,4.727272727,206
684,12,1999,1999-00,1262,0.704388429,257,81.09090909,184,4.045454545,1709
685,12,1999,1999-00,547,0.561383373,333,49.86111111,90,6.055555556,1299
686,12,1999,1999-00,333,0.611321643,95,64.16666667,80,5.875,667
687,12,1999,1999-00,268,0.409460628,90,60.15,90,5.7,702
688,12,1999,1999-00,1078,0.303121477,596,63.47826087,100,5.043478261,3689
689,12,1999,1999-00,204,0.273159425,146,65.38461538,80,5.153846154,633
708,12,1999,1999-00,952,0.327198267,1265,43.66666667,100,5.071428571,3027
709,12,1999,1999-00,941,0.598062892,649,40.93333333,80,5.444444444,1758
710,12,1999,1999-00,980,0.636927926,383,40.46666667,90,5.733333333,1647
711,12,1999,1999-00,667,0.463660017,307,48.25,90,5.5,1733
719,12,1999,1999-00,1081,0.391484991,741,55.69512195,100,3.304878049,3878
720,12,1999,1999-00,451,0.249310157,767,59.21875,180,3.21875,2352
737,12,1999,1999-00,1359,0.25821123,2530,29.63636364,59,3.340909091,4993
738,12,1999,1999-00,904,0.17947229,2107,34.28089888,59,3.404494382,4745
739,12,1999,1999-00,141,0.210588605,138,51.61290323,120,3.709677419,606
756,12,1999,1999-00,1414,0.214328632,5125,33.41758242,85,3.538461538,6352
757,12,1999,1999-00,1236,0.176338713,3290,28.60544218,55,3.43537415,6805
800,12,1999,1999-00,19,0.131494253,60,46.66666667,80,3.666666667,129
801,12,1999,1999-00,565,0.308267196,4432,46.36111111,90,3.694444444,1826
807,12,1999,1999-00,679,0.415038418,2872,53.79310345,150,3.689655172,2063
813,12,1999,1999-00,1427,0.612273163,699,90,100,5.705882353,2535
821,12,1999,1999-00,379,0.222454545,816,41.525,60,3.45,1920
842,12,1999,1999-00,2239,0.583500687,12587,45.64444444,60,3.866666667,3548
850,12,1999,1999-00,712,0.455944116,3125,117.9166667,160,4.416666667,1538
860,12,1999,1999-00,5355,0.336908882,27944,49.31640625,175,3.7421875,15979
652,1,2000,1999-00,466,0.169737053,807,87.35294118,145,4.705882353,2312
653,1,2000,1999-00,236,0.156552845,874,40.95505618,95,4.573033708,1648
654,1,2000,1999-00,169,0.177849661,515,52.77777778,75,4.777777778,1027
655,1,2000,1999-00,238,0.281831276,381,53.7037037,110,4.925925926,907
656,1,2000,1999-00,561,0.436973377,656,74.73684211,100,4.947368421,1266
657,1,2000,1999-00,384,0.499301347,302,137.3333333,180,5.083333333,740
685,1,2000,1999-00,395,0.427889103,285,70.57142857,150,6,1089
686,1,2000,1999-00,211,0.41037851,120,72.69230769,100,7.384615385,519
687,1,2000,1999-00,500,0.636259393,201,74.88461538,120,5.884615385,774
688,1,2000,1999-00,1312,0.531942225,434,65.37254902,100,5.666666667,2674
689,1,2000,1999-00,774,0.715270238,379,67.64705882,90,5.235294118,1040
708,1,2000,1999-00,407,0.280893149,549,48.18181818,100,5.272727273,2006
709,1,2000,1999-00,461,0.390216781,418,46.76190476,80,6.904761905,1108
710,1,2000,1999-00,936,0.610570546,421,48.33333333,100,5.238095238,1600
711,1,2000,1999-00,740,0.418243776,288,54.30769231,80,5,1942
712,1,2000,1999-00,233,0.465918578,97,62.33333333,80,5.266666667,539
719,1,2000,1999-00,992,0.333317879,656,56.32876712,100,3.698630137,3832
720,1,2000,1999-00,552,0.224427244,753,72.44897959,180,3.612244898,2884
737,1,2000,1999-00,776,0.193663321,2015,30.41176471,50,3.470588235,3648
738,1,2000,1999-00,753,0.170134116,2722,31.42857143,65,3.571428571,4585
739,1,2000,1999-00,120,0.36024626,65,63.68421053,120,3.526315789,320
756,1,2000,1999-00,1616,0.382474717,5550,32.39473684,45,3.776315789,4471
757,1,2000,1999-00,1126,0.163401778,2705,31.95454545,50,3.621212121,6166
801,1,2000,1999-00,677,0.745114185,4813,43.26086957,60,3.739130435,1007
807,1,2000,1999-00,774,0.422921047,1544,46.19047619,60,4.428571429,1828
813,1,2000,1999-00,1582,0.554866667,546,96.5,160,5.7,2600
821,1,2000,1999-00,380,0.339209356,1076,42.03846154,60,3.653846154,1153
842,1,2000,1999-00,1857,0.571431088,8186,45,86,4,3053
850,1,2000,1999-00,769,0.631633328,1041,113.125,150,4.375,1096
860,1,2000,1999-00,4661,0.351112852,30287,46.46153846,120,3.607692308,14469
652,2,2000,1999-00,428,0.208088456,1143,94.92592593,145,4.666666667,1706
653,2,2000,1999-00,413,0.294785143,1808,54.37662338,100,4.38961039,1521
654,2,2000,1999-00,326,0.39991342,703,73.63636364,110,4.409090909,859
655,2,2000,1999-00,148,0.372353064,342,75.625,175,4.5,437
656,2,2000,1999-00,576,0.681377866,723,96.66666667,150,5.277777778,993
657,2,2000,1999-00,316,0.98102904,252,129.375,180,5.875,418
680,2,2000,1999-00,441,0.65100471,403,95.71428571,120,4.571428571,740
683,2,2000,1999-00,141,1.078105302,68,73,95,7,116
685,2,2000,1999-00,309,0.854658197,199,77.82608696,130,6.391304348,564
686,2,2000,1999-00,273,1.308116883,112,72.91666667,100,8.416666667,198
687,2,2000,1999-00,400,0.571206152,121,68.13333333,100,6.666666667,560
688,2,2000,1999-00,1684,0.75971624,430,72,100,5.577777778,2442
689,2,2000,1999-00,982,0.661175526,388,75.63636364,95,6.272727273,1593
708,2,2000,1999-00,327,0.297028803,480,56.66666667,160,4.933333333,1566
709,2,2000,1999-00,342,0.627846922,227,85.41666667,170,7.583333333,507
710,2,2000,1999-00,543,1.131622024,273,69.375,130,7.6875,497
711,2,2000,1999-00,474,0.54143901,105,61.875,80,6.0625,1021
712,2,2000,1999-00,556,0.660305602,138,68.68421053,90,6.315789474,888
719,2,2000,1999-00,1119,0.499192239,651,60.66666667,100,3.929824561,2852
720,2,2000,1999-00,800,0.433607011,1796,81.3877551,180,3.346938776,2246
737,2,2000,1999-00,552,0.26101354,2000,35.94827586,60,3.534482759,2201
738,2,2000,1999-00,1248,0.355978652,3389,44.47058824,70,3.450980392,3308
739,2,2000,1999-00,27,0.284649123,69,59,100,3.4,159
756,2,2000,1999-00,1634,0.365159465,5136,32.67142857,40,3.542857143,4258
757,2,2000,1999-00,2138,0.355207014,4387,34.67857143,95,3.526785714,5771
801,2,2000,1999-00,557,0.625328798,4250,44.85714286,60,4.428571429,890
807,2,2000,1999-00,261,0.320136543,806,43.63636364,60,4.090909091,940
813,2,2000,1999-00,954,1.124598214,387,102.5,120,7,810
821,2,2000,1999-00,341,0.41277381,434,47.9,70,3.7,880
842,2,2000,1999-00,1027,0.583141127,3691,48.57692308,60,4.230769231,1611
860,2,2000,1999-00,3779,0.404304013,17178,50.00636943,120,4.292993631,8201
652,3,2000,1999-00,166,0.344778144,308,103,145,4.666666667,421
653,3,2000,1999-00,176,0.363849819,593,58.10344828,75,4.931034483,550
654,3,2000,1999-00,78,0.403571429,307,71.42857143,110,4.857142857,230
688,3,2000,1999-00,780,0.919417915,271,63.5,90,7,854
689,3,2000,1999-00,272,0.743796204,100,70.71428571,80,7.142857143,399
708,3,2000,1999-00,165,1.087278325,144,103,150,6.2,232
709,3,2000,1999-00,257,1.10396692,153,92.14285714,150,5.428571429,252
710,3,2000,1999-00,283,1.315769944,138,92.85714286,150,7.142857143,201
